id,screen_name,lang,followers_count_log,friends_count_log,statuses_count_log,favourites_count_log,listed_count_log
1469518621,dbBerater,de,2.734799829588847,2.1583624920952498,3.0831441431430524,2.937517892017347,1.5314789170422551
14701445,rushabhmehta,en,3.0232524596337114,2.4313637641589874,2.8115750058705933,1.8573324964312685,1.9493900066449128
1475151,seanboon,en,3.064083435963596,2.9661417327390325,3.321391278311689,3.5703093854358796,2.0755469613925306
1480809193,Altiscale,en,3.303412070596742,3.2725377773752373,3.3027637084729817,2.56702636615906,2.3364597338485296
14833587,VidasM,en,3.077731179652392,2.8048206787211623,3.3823773034681137,0.6020599913279624,2.1072099696478683
14838585,buckleyplanet,en,4.330941100576426,4.209300495159705,4.449586380837568,2.5888317255942073,2.929418925714293
14942445,expansioncom,es,5.806500826199097,2.298853076409707,5.0686644354712,2.7209857441537393,3.960565902818198
150604896,EuropeanSP,en,3.604334073102911,3.0511525224473814,4.2394746634651845,3.3660492098002353,2.7259116322950483
151439258,TechNet_es,es,3.996161293368007,2.439332693830263,3.8595585726260535,2.278753600952829,2.745855195173729
15226930,brianknight,en,3.576341350205793,2.387389826338729,3.514282047860378,0.9542425094393249,2.3710678622717363
15309893,adiazcan,en,3.338854746252323,3.2975416678181597,4.181471992946307,3.700270937356437,2.359835482339888
15334873,gserda,en,3.137986732723532,3.28397928423848,3.761551988564182,3.2375437381428744,2.330413773349191
1533654390,Springboard,en,3.955639653023252,3.8562454007900544,3.2933625547114453,4.582892505401443,2.655138434811382
153719058,PabloDoval,es,2.802089257881733,2.7708520116421442,3.1610683854711747,1.9395192526186185,1.7160033436347992
154090892,r_corral,en,3.2643455070500926,2.5599066250361124,3.426185825244511,2.3138672203691533,2.2013971243204513
155191512,scarrillovila,es,2.110589710299249,2.0569048513364727,2.060697840353612,0,1.0791812460476249
155335422,ibonilm,es,3.241795431295199,2.2041199826559246,3.924124153185825,1.9867717342662448,2.298853076409707
15674266,MichelleCRuns,en,3.1861083798132053,3.247236549506764,3.606488850442648,2.61066016308988,2.1335389083702174
1567612410,IsabelRRHH,es,2.5415792439465807,3.022840610876528,2.8686444383948255,1.4771212547196624,1.1760912590556813
1567985388,RoyaChang,es,2.737987326333431,2.6720978579357175,3.271841606536499,3.1755118133634475,1.6901960800285136
15710997,SQLRockstar,en,4.107040290223204,2.8095597146352675,4.860320035393026,2.9907826918031377,2.9304395947667
15714181,trengarajan,en,3.0330214446829107,2.214843848047698,3.784831178124469,0.47712125471966244,2.2227164711475833
15740290,SQLScott,en,3.150756439860309,2.3729120029701067,3.3613500243522663,1.4913616938342726,2.0718820073061255
15755952,liam_in_sf,en,3.1728946977521764,3.3236645356081,3.7942788657214,2.7299742856995555,2.0170333392987803
157630587,teresaamartinez,de,1.8692317197309762,2.155336037465062,3.090610707828407,2.2278867046136734,2.041392685158225
1583909250,mirbep,es,1.4771212547196624,1.7993405494535817,2.0170333392987803,0.7781512503836436,0.9542425094393249
158732972,mercegranja,es,1.6720978579357175,2.0569048513364727,1.6020599913279623,0.6020599913279624,0.47712125471966244
15902239,Aschenbrenner,en,3.248463717551032,2.1818435879447726,4.251273113674372,2.7965743332104296,2.1072099696478683
1603776690,phongtly,en,4.1303981036528015,4.144667594231179,1.3222192947339193,3.773274348337454,2.346352974450639
161209621,manoletmas,es,2.3541084391474008,2.7958800173440754,2.584331224367531,2.1398790864012365,1.3979400086720377
161775959,powerpivotyoda,en,2.2121876044039577,0.3010299956639812,1.1760912590556813,0,1.1760912590556813
16205811,tlachev,en,2.936513742478893,1.505149978319906,2.6766936096248664,0.6989700043360189,1.8573324964312685
1622846317,PredictiveVIZ,en-gb,2.8188854145940097,2.91539983521227,2.2430380486862944,0,1.5185139398778875
162582076,JamesMPhillips,en,3.4046627008737222,2.3654879848909,3.0111473607757975,3.1792644643390253,2.173186268412274
163812567,NikoNeugebauer,en,3.256958152560932,2.7489628612561616,4.393030897514415,2.661812685537261,2.3654879848909
165203612,davidjrh,es,3.0342272607705505,2.8524799936368566,3.5413295776666938,2.8369567370595505,1.954242509439325
165393934,FerrariAlberto,en,3.4720246977002813,1.8750612633917,2.2764618041732443,1.2787536009528289,2.103803720955957
16547411,MVPAward,en,4.564488523410793,3.4768316285122607,3.959804316508338,2.617000341120899,3.024074987307426
166570282,Atharky,es,2.5899496013257077,2.7168377232995247,3.339848783037637,0.6989700043360189,1.7075701760979363
1670187734,CO365,es,2.850033257689769,2.3636119798921444,3.6744937172963503,2.0863598306747484,1.845098040014257
167714462,Conseilit,fr,2.6757783416740852,2.5415792439465807,2.8506462351830666,0.6989700043360189,1.5440680443502757
167783694,davidmartos,en,2.88024177589548,2.530199698203082,3.495821753385906,1.6232492903979006,1.724275869600789
16895102,pacoSQL,en,2.900913067737669,3.263399331334002,2.48572142648158,0.8450980400142568,1.724275869600789
16968354,salvador_ramos,es,3.1652443261253107,2.2380461031287955,3.6655809910179533,1.9084850188786497,2.1522883443830563
17019208,robertogg,en,2.7466341989375787,2.69284691927723,2.929418925714293,2.537819095073274,1.6812412373755872
17152297,djeepy1,fr,2.7611758131557314,2.419955748489758,3.4156409798961542,2.506505032404872,1.9444826721501687
17283343,FernanSQL,en,3.241795431295199,3.1610683854711747,4.1220519626332495,3.2595938788859486,2.230448921378274
17286098,knight_devin,en,3.3281756614383227,2.7944880466591697,3.879955585122749,2.2355284469075487,2.4608978427565478
17392174,ctxdom,en,3.094471128641645,2.7958800173440754,4.319501639056495,3.346157302232008,2.0293837776852097
17426050,Daniel_Seara,es,2.6053050461411096,2.3710678622717363,4.271353622102485,1.7323937598229686,1.6127838567197355
174391821,alejacma,es,3.2477278329097232,2.6646419755561257,3.7246853882373596,2.6344772701607315,2.130333768495006
17509587,alzdba,en,2.7520484478194387,2.5403294747908736,4.032820149438564,3.4320066872695985,1.8692317197309762
17510459,2Flores,es,2.459392487759231,2.376576957056512,3.9348013417465366,1.99563519459755,1.1139433523068367
17518751,klunkySQL,en,4.267547172110773,4.237392915261726,4.160108220410951,4.147088624628166,2.73559889969818
17533258,SQLSocialite,en,3.441852175773292,3.2949069106051923,3.765221366304981,3.0269416279590295,2.3636119798921444
17545378,paul_turley,en,3.089905111439398,2.2576785748691846,3.1922886125681202,1.8325089127062364,2.060697840353612
176770563,evdlaar,en,2.303196057420489,2.1986570869544226,3.193958978019187,1.9444826721501687,1.1760912590556813
17705514,oengels,en,2.921166050637739,2.749736315569061,3.3641756327706194,2.846955325019824,1.9242792860618816
177958770,pacomonfort,es,2.1789769472931693,2.2430380486862944,2.8530895298518657,2.2430380486862944,1.1139433523068367
17825771,Tim_Mitchell,en,3.555698894718901,2.832508912706236,4.064495426792728,2.6180480967120925,2.383815365980431
